kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,Prot,adopted_rp,adopted_period,flag_dr3_ruwe_outlier,flag_koi_is_grazing,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,Li_EW,comment,are_gyro_and_li_consistent
10024701,K02002.01,Kepler-1046 b,CONFIRMED,5611,10.16,2.05,14.38,1,1,640,4,1,$896^{+102}_{-84}$,$1490^{+1780}_{-804}$,$62\pm2$,,Yes
6921944,K02114.01,Kepler-1105 b,CONFIRMED,4167,13.33,1.61,4.42,0,1,0,4,1,$921^{+316}_{-325}$,$> 128$,$5\pm12$,,Yes
10407482,K04255.01,Kepler-1577 b,CONFIRMED,4724,11.45,0.95,6.31,0,0,0,0,1,$926^{+195}_{-233}$,$> 154$,$30\pm14$,\checkmark,Yes
3745559,K03423.01,Kepler-1920 b,CONFIRMED,5884,8.43,2.54,30.25,0,0,0,0,0,$931^{+541}_{-211}$,--,--,,--
4472818,K03878.01,Kepler-1524 b,CONFIRMED,5698,10.10,2.68,70.97,0,0,0,0,1,$932^{+141}_{-99}$,$3058^{+3359}_{-1741}$,$47\pm2$,\checkmark \checkmark,Maybe
8507475,K04300.01,Kepler-1585 b,CONFIRMED,5260,10.68,1.36,3.58,0,0,0,0,0,$942^{+88}_{-92}$,--,--,,--
8591173,K02181.01,Kepler-1804 b,CONFIRMED,4861,11.13,1.43,12.29,0,0,0,0,0,$942^{+155}_{-202}$,--,--,,--
6200235,K02350.01,Kepler-1205 b,CONFIRMED,5098,10.75,1.54,1.08,0,1,0,4,0,$946^{+105}_{-124}$,--,--,,--
8459663,K04356.01,Kepler-1593 b,CONFIRMED,4577,12.02,2.63,174.51,0,0,0,0,1,$954^{+226}_{-266}$,$> 172$,$-8\pm38$,\checkmark,Yes
6263593,K03049.01,Kepler-1418 b,CONFIRMED,4563,12.10,1.21,22.48,1,0,128,0,1,$958^{+238}_{-289}$,$> 210$,$0\pm12$,,Yes
11572193,K03109.01,Kepler-1428 b,CONFIRMED,6095,5.89,3.08,10.68,0,0,2566,0,1,$980^{+601}_{-388}$,$> 442$,$-8\pm7$,,Yes
10002866,K00723.01,Kepler-222 b,CONFIRMED,5169,10.90,3.30,3.94,0,1,0,4,1,$981^{+93}_{-103}$,$> 478$,$7\pm15$,,Yes
10002866,K00723.03,Kepler-222 c,CONFIRMED,5169,10.90,4.63,10.09,0,1,0,4,1,$981^{+93}_{-103}$,$> 478$,$7\pm15$,,Yes
10002866,K00723.02,Kepler-222 d,CONFIRMED,5169,10.90,3.57,28.08,0,0,0,0,1,$981^{+93}_{-103}$,$> 478$,$7\pm15$,\checkmark,Yes
7765528,K01840.01,Kepler-972 b,CONFIRMED,6175,5.52,4.25,7.04,0,1,0,4,1,$987^{+508}_{-383}$,$1231^{+2152}_{-831}$,$72\pm8$,,Yes
3657758,K02034.01,Kepler-1065 b,CONFIRMED,5709,10.32,3.62,3.61,0,0,0,0,0,$989^{+217}_{-117}$,--,--,,--
10714072,K04024.01,Kepler-1541 b,CONFIRMED,5159,10.98,1.07,8.41,0,0,0,0,1,$995^{+93}_{-104}$,$> 495$,$7\pm12$,\checkmark,Yes
7779077,K01842.01,Kepler-1770 b,CONFIRMED,5489,11.06,2.58,16.84,0,0,0,0,0,$1002^{+83}_{-80}$,--,--,,--
8331612,K03318.01,Kepler-1915 b,CONFIRMED,5916,8.08,3.83,13.84,0,1,0,4,0,$1017^{+844}_{-319}$,--,--,,--
11455428,K03365.01,Kepler-1480 b,CONFIRMED,4973,11.21,2.08,22.13,0,1,0,4,0,$1019^{+115}_{-158}$,--,--,,--
