kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,gyro_+2sigma,gyro_-2sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
7768451,K01527.01,,CANDIDATE,5603,105,2020AJ....159..280B,11.85,0.12,2021ApJS..255...17S,4,11,1172,155,104,510,193,,,,3.81,2020AJ....160..108B,192.67,1024,4,1,$1172^{+155}_{-104}$,$> 751$,Yes
9008103,K03283.02,,CANDIDATE,4703,85,2020AJ....159..280B,12.61,0.13,2019ApJS..244...21S,-8,24,1265,119,170,235,516,,,,1.32,2022AJ....163..179P,20.57,0,0,1,$1265^{+119}_{-170}$,$> 233$,Yes
4172013,K02386.01,,CANDIDATE,6018,110,2020AJ....159..280B,7.76,0.08,2021ApJS..255...17S,,,1294,816,480,1477,673,,,,28.42,10.26133/NEA4,16.27,132,4,0,$1294^{+816}_{-480}$,--,--
7918652,K02984.01,,CANDIDATE,6415,145,2020AJ....159..280B,12.85,0.13,2018MNRAS.474.2094A,64,3,,,,,,1332,2369,953,1.43,2022AJ....163..179P,11.46,4615,0,1,--,$1332^{+2369}_{-953}$,--
8509442,K02992.01,,CANDIDATE,4166,68,2020AJ....159..280B,14.69,0.15,2019ApJS..244...21S,34,23,1488,235,347,518,857,,,,2.19,2022AJ....163..179P,82.66,0,0,1,$1488^{+235}_{-347}$,$> 83$,Yes
5441980,K00607.01,,CANDIDATE,5687,96,2020AJ....159..280B,13.04,0.13,2021ApJS..255...17S,,,1492,317,176,824,294,,,,11.83,2020AJ....160..108B,5.89,0,4,0,$1492^{+317}_{-176}$,--,--
2307199,K00151.01,,CANDIDATE,6248,124,2020AJ....159..280B,nan,nan,,65,4,,,,,,1524,2479,1039,5.24,10.26133/NEA4,13.45,129,4,1,--,$1524^{+2479}_{-1039}$,--
5792202,K00841.04,,CANDIDATE,5331,97,2020AJ....159..280B,14.69,0.15,2021ApJS..255...17S,-8,34,1549,121,99,284,186,,,,23.01,2020AJ....160..108B,269.31,0,4,1,$1549^{+121}_{-99}$,$> 437$,Yes
11030475,K02248.03,,CANDIDATE,5167,103,2019ApJS..244...21S,14.69,0.15,2019ApJS..244...21S,12,21,1555,106,93,235,176,,,,1.08,10.26133/NEA4,0.76,512,0,1,$1555^{+106}_{-93}$,$> 387$,Yes
5730445,K02189.01,,CANDIDATE,4885,93,2020AJ....159..280B,14.49,0.14,2019ApJS..244...21S,,,1564,98,89,212,171,,,,4.44,10.26133/NEA4,33.36,128,4,0,$1564^{+98}_{-89}$,--,--
